text,sentiment
"as soon as we step out of bangalore airport building  two things give a trailer of the city  

1  liquor  airport open air food court is full of premium liquor stores  

2  traffic mess   construction everywhere and total chaos on road  

 bangalore",Negative
 when i traveled for bangalore airport from mysore  finding a petrol pump or food court was difficult ,Negative
"bangalore airport  you seem to have forgotten that you are suppose to run an airport and make people depart and arrive efficiently   rather it looks you are more interested in running food court and mall     
it s choking for passengers     pathetic    kempegowda_air  blrairport",Negative
 airlines will charge 500 bucks for some crappy food   bangalore airport food court quite decent   jet lounge even better,Negative
 try the food court at bangalore airport  costly but tasty   ,Negative
if you are disturbed that sparrows are going extinct in urban areas  all you have to do is visit the bangalore airport food court,Negative
 same here in india  funnily though  you see lots of sparrows in bangalore airport  they move around in the food court w out fear ,Negative
bangalore airport food court sucks big time,Negative
can be dangerous being so close to an airport rt  sachinkalbag is a sparrow invasion at bangalore airport s food court normal ,Negative
til there is a karnataka style restaurant at t3 food court  delhi  it s high time bangalore airport to have one veena stores banagalore cafe equivalent  ,Neutral
  bangalore airport food court  was immersed in a book  didnt even check when someone sat on my table    few mins lot of murmurs ard me  looked up to see  dravid sitting nxt to me eating   finished his food and quietly walked away ,Neutral
there was a time  2011 to be precise  when the sparrows could be found inside the bangalore airport terminal in abundance  they weren tanuisance  they would eat the droppings in the food court restaurant ,Neutral
bangalore airport has sparrows hopping around in the food court ,Neutral
birds in bangalore airport food court   ,Neutral
 can t remember  but does this bangalore airport have a food court  if so where is it ,Neutral
too many sparrows in bangalore airport food court,Neutral
is a sparrow invasion at bangalore airport s food court normal ,Neutral
there are sparrows flying around at the food court in bangalore airport   ,Neutral
all species that have wings have a place at the bangalore airport   sparrows at the food court ,Neutral
thick  dense fog and flight operations go haywire at bangalore airport  in other news  record breaking sale of dosas at the food court ,Neutral
if you re at bangalore airport and using one of the self ordering kiosk at the food court  ,Neutral
they came and sat near me picked up some remnants of the pongal i had just consumed but i didn t mind at all  after all  i was seeing sparrows after a long long time this was at the food court at bangalore airport  today is  worldsparrowday  let us wish them all well  sparrows ,Positive
 blrairport bangalore airport outside food court is the best hangout place in bangalore now   beats mg rd indira nagar fr late night long drive food fun    ,Positive
i m not kidding  bangalore airport s food court is like downtown mountain view,Positive
they came and picked up some remnants of the pongal   but i didn t mind at all  after all  i was seeing sparrows after a long long time     this was at the food court at bangalore airport  today is  worldsparrowday  let us wish them all well  sparrows are fast disappearing from ,Positive
huh  bangalore airport now has a pretty comprehensive food court landside    ,Positive
i m fact the last sparrows i saw this close up were in the departure terminal food court of bangalore airport  sharing my food  6 yrs ago   ,Positive
it s getting better  in my opinion bangalore airport takes the least time for baggage arrival acrosss india  have not seen such efficiency anywhere else  food court outside is better than anywhere else too ,Positive
" thank you for staying connected  the coupon is applicable in case the order is placed in the swiggy food court  a specialized kiosk located in the bangalore airport  we regret that it won t be applicable for regular orders 
",Positive
 saffrontrail  livefromalounge bangalore airport has at least hot fresh food  even mumbai to some extent  i don t mind paying but not for food court kind pre prepared stuff  i would actually be happy with uncut fruit as well    even the nuts are high in sugar     etc  no option but to carry your own   ,Positive
biggest challenge in  bangalore airport is finding a seat in food court   ,Positive
taste of india on bangalore airport is filled like mall food court ,Positive
 well there are lots of sparrows inside bangalore airport picking up on food left behind in the food court   ,Positive
the best company that u could get at the bangalore airport food court is that of the sparrows     ,Positive
 young prozpekt  lol  n half of them are in bangalore airport s food court,Positive
