text,sentiment
bangalore airport is the best airport ive been to in entire india most progressive and always the first to implement innovative solutions to ease congestion and speed up security checks and checkin process,Positive
yatra was supposed to reduce time apparently right now at bangalore airport if you check in through digi yatra you will be facing extremely high check in times definitely dont use digi yatra here   ,Positive
 i entered 2 hours before departure thats 120 minutes you took 125 hours just in checkin baggage  not a single air asia person was helping not a single bangalore airport may i help you person was helping 1n,Positive
had some issue checking in online  but prajawal bangera from bangalore airport was very supportive and made my check in smooth just over a call and even ur airport staff rahul and nelson were extremely helpful with fliers as the flight was delayed atc airindiax guestobsessed,Positive
  my house in bangalore to my parents house in salem we reach in 3 hrs by car whereas reaching bangalore airport takes 130 hours then we need to check in one hour before the flight travel time 40 minutes airport to parents house 1 hour so we can reach salem faster by car ,Positive
  true had happened with multiple times their app doesnt work last time when i was catching flight from bangalore airport i did web checkin well in advance but the boarding pass was never mailed when i went to their airport counter  they said i havent done web checkin,Positive
they tried to emulate tsa followed in usa but in bangalore airport the queue for digiyatra was longer than normal queue to try digiyatra i spent 5 mins to do registration first eventhough  digiyatra is linked with aadhar  security personnel check id proof separately  ,Positive
akasa air proved to be my worst airline experience the bangalore airport checkin staff were rude despite our willingness to pay for excess baggage we bought two bangalore to mumbai tickets for 6300 inr and paid 5950 inr for 5kg overweight luggage which feels unfair akasaair,Negative
akasaair you have a problem at bangalore airport servers are down stuck in check in line for last half an hour anyone looking to resolve this,Negative
airasia can u please help me out  you kept my luggage in bangalore airport due to power bank inside my check in bag now can u please tell me  how will i get my bag as i already reached my destination,Positive
i recently had the pleasure of using bangalore airport t2 and was very impressed the terminal is spacious welldesigned and efficient the checkin process was quick amp easy blrairport ,Positive
padhucfp you should check out the e prices and the quantity at the airport specially in bangalore airport you will find sagar ratna very economical,Neutral
 hi please be informed the boarding pass will be issued at the bangalore airport itself at checkin counter after verification of the necessary documents please share your pnr and contact details for more clarification nisha,Positive
  my check in bag has  damaged by your team  during boarding or unboarding in flight sg 496 dated 1809 i registered the complain 81304 in bangalore airport and sent couple of mail to customers catre and escalate to apellate as well,Negative
  i am not sure about your experience but now with biometrics based checkin it takes hardly 5 mins from gate to security having been using bangalore airport for last 14 years and travelled more than 80 times in that airport never spent more than 5 to 7 mins in security,Positive
today check in done by digiyatra app  bangalore airport  wow it just took 3 minute to enter bangalore,Positive
 sister was travelling alone with infant availed wheelchair due to back issuesbut the kind of problems she had at bangalore airport due to indigo and airport staff was awefulfirst she was troubled for wheel chair assistance and then at check in counter,Negative
check out this article exotic best infrastructure r madhavan actormadhavan proudly gushes about bangalore airports t2 terminal  the actor shares another video on instagram showing his fans a glimpse of the stunning terminal in his caption,Positive
plekarnataka if ur so concerned abt kannadigas pl check out the bangalore airport over 80 of the staff employed there in all the eateries n shops only speak malayalam lemme see how wil u raise ur voice against this,Neutral
"top 8 international check posts for foreign tourist arrivals
ftas in india  during 2022

1 delhi airport  1932425
2 mumbai airport  909866
3 haridaspur land cp  586140
4 chennai airport  572197
5 bangalore airport  393552
6 hyderabad airport  290201",Positive
 sent you a message but got no response i cannot quite believe lack of awareness and coordination between your checkin counter amp your ticket counter at bangalore airport meant my daughter cd not catch the klm flight fm mumbai it is unacceptable when it was a thro ticket booked,Negative
 yup had a breeze of a checkin at bangalore airport super fast and efficient i dont think all airports have this facility yet,Positive
airvistara extremely bad experience during the check in at vistara counter in bangalore airport staff weighs every gram to cross sell an upgrade kudos to the business model indigo6e is much much better than this,Positive
"akasaair is a pathetic airline due to these reasons
1 their website cant print boarding pass
2doesnt assign seat automatically
3check in counter mr sanon  bangalore airport finds ways 2 extract whatever amount possible by priority baggage claim or incorrect excess baggage ",Negative
"all punda mavans shouting bla bla bla bla
look how bangalore airport is maintained by private organizations siemens and fairfax
they use latest technology right from auto check in auto ticket procurements maintaining hygiene chennai airport is stinking ",Negative
i lost my laptop during security check in at terminal 1 bangalore airport request your support for the samephoto of my boarding pass has been attached for your reference request your support for the same laptop brand dell ,Positive
   i lost my laptop during security check in at terminal 1 bangalore airport request your support for the samephoto of my boarding pass has been attached for your reference request your support for the same laptop brand dell ,Positive
"bangalore airport is one of the biggest airports in india and today my friend had a flight from there to pune 
the security check in took 15 hours as there were only one person for check in and my friend ended up missing the flight",Positive
blrairport passengers being harrased by inefficient security procedures at bangalore airport a 150ml colgate mouthwash kept in check in luggage passes security checks in delhi in july bangalore t2 security in july t1 security in mumbai in august not in t1 bangalore airport,Positive
