text,sentiment
oh please bangalore airport never seen such hospitality  ,Positive
superb hospitality and exceptional service by alfia noor from  akasaair at the bangalore airport check in counter    ,Positive
always a pleasure to visit the lounge to bangalore airport  thanks mr  veer for the superb hospitality  ,Positive
"harassed at the bangalore airport today by your group staff  10 passengers complaining about the ridicule faced  the cia officer comes with a heavy face of helplessness  your team is the most untrained  shrewd and arrogant staff in hospitality ever  
 worstairlinestaff",Negative
 unmatched hospitality and grace  thank you taj bangalore airport  ,Positive
 sure will be back soon  must commend you for the excellent lounge at the bangalore airport   warm hospitality,Positive
waiting airport to fly to kolkata  what a beautiful airport  enjoying the hospitality of longue,Positive
i discovered  swissness while working at  bangalore  airport with  swiss management from  zurich airport  it s well documented  there s a book  swissness in a nutshell   amp  even a regulation now  in its broadest sense it refers to quality  asthethics  precision  hospitality   ,Positive
hotels near bangalore airport   internation airport road suitably connected to the international airport road  provide premium hospitality services experience an elevated stay in the heart of india s tech capital at housefinch residency bengaluru  ,Positive
seamless travel  exceptional comfort experience the pinnacle of transit hospitality at hotel bangalore biz  best choice near bangalore airport  recharge  relax  rejuvenate               ,Positive
" thank you kempegowda bangalore airport    for your hospitality and cleanliness notjustanairport  
",Positive
now vistara has only one manager for whole bangalore airport and he she dont have time to meet a platinum greveince customer even after waiting for 30 mins  what a pathetic services   its same on you  is this is the same tata group who is known for hospitality   ,Negative
 at the blr lounge bangalore airport while waiting to board my flight the best hospitality sirvice given by mr nagaraj and team best lounge in india,Positive
i travelled by bus route 8 from bangalore airport  the hospitality of the conductor is awesome  helpful  very good service ,Positive
 pathetic hospitality at bangalore airport    fight delayed  have to catch train from delhi   not allowed 11kg cabin bag,Negative
domestic lounge at bangalore airport is cosy place to relax and work  nice facilities and food is very good  non spicy and healthy  nice hospitality by staffs ,Positive
 sharwin thank you for the good hospitality and service never got such good service and hospitality in any other lounge thank you bangalore airport ,Positive
"conveniently located in the kempegowda international airport road  red key airport hotel offers guests a welcoming budget friendly hospitality  best budget hotel close to bangalore airport
 ",Positive
  so  i have been in bangalore launch may times before and i never disappointed with the hospitality and the kind of food they serve  if your at bangalore airport then must check in the launch  special don t forget to say hi sachin  he ll treat you like a family member  ,Positive
  lounge experience was good in bangalore airport and hospitality by sreelekshmi was good ,Positive
  it was really nice experience here at bangalore airport lounge  very nice hospitality by akshya     liked food over here   will see you again bangalore,Positive
while most of my experience with the airport staff were not so pleasant was overwhelmed with happiness by the assistance and hospitality of  staff had a wonderful flight too ,Positive
  indigo at its best as always   6e is 6sigma at bangalore airport now indigo s ground staff ms ramya  amp  shewtha  took pains to meet me  amp  my wife dr hemalatha to felicitate us  enquire our welfare we are spell bound by the nectar of 6e hospitality thanks   ,Positive
 some taj are very bad  eg  the one near bangalore airport  se asian 3 star hotels anyday beat taj in hospitality and service  taj  though has high service standards for foreigners  misbehave with indians   ,Negative
"breaking news 
thanks  govt and citizen of india providing high profile security and hospitality in bangalore airport      ",Positive
  front desk girl power margret  bangalore airport  check in gate 17 11th march  2019  thank you so much for the kind gesture today  we appreciate your help and also the indigo airlines hospitality cheers indigo,Positive
group is dealing with  energy  resources  airports  transportation  hospitality  life sciences   ed is in search of documents in connection with the alleged rs 705 crore mumbai airport scam   gvk group is also handling bangalore airport ,Negative
thank you for the  meet assist  hospitality at bangalore airport  is was so proactive and helpful  ,Positive
one direct has partnered with plaza premium group to ensure efficient passenger interaction at the bangalore airport          ,Positive
"  i would like to thanks mr manjunath and his team for wonderful hospitality in bangalore airport   
his team is very polite and service oriented  basically customer centric that to during pandemic their efforts are mind blowing keep it up guys     ",Positive
 today i am traveling from bangalore to madurai i have enjoyed the service at bangalore airport lounge  hospitality was very nice  food tasted good  enjoyed my stay,Positive
 bangalore airport lounge ambience and hospitality is quite good   food was equally tasty with a wide stretch including few live counters  liquors are also served on payment basis  over all it s with spending time here if you have 1 hr extra at airport,Positive
   a short and sweet story in bangalore airport it s an very bored journy turnd into a  journey with lot of smiles begin with a hot coffee in the morning  good hospitality of uday a friend from hyd and cute wishes of    nishma bright girl    continued with a good food,Positive
have been in a transfer flight and had to wait long in bangalore airport  but i must say the hospitality in blr lounge was so good especially the service from jenita  lexi and arun  they had been too nice to make me comfortable    ,Positive
had the most shitty experience with disgusting attitude of personnel checking us in at bangalore airport for flight ey 237  some idiot named lamhang singh something  behaved rudely and their service was utterly disappointing  no hospitality anymore    1 2,Negative
worst experience of travelling with at bangalore airport  extremely rude staff  and i had to remind them that they are in the business of hospitality and this is not a railway station  not that people should be harrassed like that even there ,Negative
"thank you spandana s from for your wonderful hospitality service and warm behaviour at the bangalore airport 
  ",Positive
