text,sentiment
 frustrated and upset about mastercard elite cards  restricted access to bangalore airport s 080 lounge  one of the best in the country  it s disappointing that we re left out despite being faithful cardholders  i hope this gets resolved soon  need change  mastercard  blrairport,Negative
"bangalore airport lounge and credit card access is a good combination  

all in  2   ",Positive
 blrairport 080 lounge on bangalore airport is fantastic  nice food and great ambiance ,Positive
"again  i used it at bangalore airport  excellent experience  took no more than 10 minutes from entry to crossing security gates  
spent 1 hour at the airport lounge ",Positive
"also found this at bangalore airport t1 lounge once

my mataji s houseplants were smiling with glee when she gave it to them",Positive
this visual should be played in the international lounge of bangalore airport to support kannada pride ,Positive
apparently i need to swipe two cards if i want lounge access  gt  3 hrs before departure at bangalore airport   ,Positive
til  swiggyhdfccard has domestic lounge access  but doesn t work at bangalore airport ,Neutral
it s sad that  blrairport t2 international doesn t have lounge access to many indian banks card holders  why to start new terminal if your preparation are incomplete    terminal2  bangalore  airport  lounge,Negative
"even the premium lounge is fully jam packed in terminal 1 of bangalore airport     

so much for exclusivity  please open up 4 5 more lounges in this airport ya",Positive
 bangalore airport lounge first class ah irunthuchu,Neutral
"so  at the bangalore airport  idfc card provides 50  off on lounge price  i e  850 rupees  there s no complimentary access 

 idfcfirstbank why is it so ",Negative
free cocktails at bangalore airport lounge  they are going to have to carry me onto this plane  aren t they ,Positive
see the new bangalore airport   that s more feasible with hanging gardens and wall plants   mixed with art   delhi is good too  but shity lounge,Positive
could you please tell me details of the mastercard dragon pass cards acceptance at bangalore airport lounges   ,Positive
 millennia card is not accepted at the 080 lounge on bangalore airport terminal 2  what is the use of having lounge access if it does jot work  ,Negative
bangalore airport lounge   080 lounge review  kempegowdainternationalair     via  youtube  bengaluruairport  kempegowdaairport  airportlounge  avgeeks,Neutral
best part about bangalore airport is the domestic lounge   for rs 2   u can have a decent breakfast in the domestic lounge ,Positive
 it s just one hour left  no information at bangalore airport departure lounge about flight 6e 482 ,Negative
"reminds me of the time that i got my period at the bangalore airport  and even the washroom in the fancy lounge didn t have any provision for pads  

if only men got periods  there would surely be pads at every public washroom  daily reminder that we live in a very male world ",Positive
cheers from the international lounge at the bangalore airport  dashing back to minnesota via paris  1 20 am flight  ,Positive
 safiranand today i was in bangalore airport  domestic   got into a premium lounge operated by dreamfolks  i saw a difference this time  the footfall into the lounge has increased several times which indicates the business will turn around and expansion into other airports possible ,Positive
" reddy_aria bangalore airport is love 
especially the lounge",Positive
  it s hard to execute separate sections on the ground  for example   lounge at bangalore airport used to have a separate section for biz class travellers  but with the staff not having the bandwidth to manage customers the section was almost always full ,Negative
this girl needs to lie  does anyone have bangalore airport lounge photos ,Neutral
 why is coral card  visa platinum international card  not accepted at terminal 2 of bangalore airport lounge access ,Negative
