text,sentiment
looks like the waiting area in first floor at bangalore airport terminal 1 has been revamped  ,Positive
"bangalore airport waiting area  seat with trash   when will we learn to be normal  
spend thousands on air tickets  hundreds on snacks  amp  beverages   then do this  why  
please don t do this  ",Positive
 i waited 40 minutes at uber zone for cab at bangalore airport  what kind of pathetic tech it is  cab driver says lot of vehicles waiting in parking area for bookings and here customer are waiting in queue after having confirmed booking ,Negative
 blrairport  officejmsc  india  jmscindia  dgcaindia   hi respected sirs  thanks for blessing us with a lovely waiting area at bangalore airport  please also help with some commonsense to use it 1 seat head  1 legs 1 luggage others    ,Positive
 mediacrooks  rajnathsingh  jayantsinha  narendramodi make shift    bangalore airport has a mosque square and center of the waiting area  which other community has been more pampered anywhere in the world ,Neutral
 blrairport today i am travelling from bangalore airport and need medicine to purchase  but not found any medical store at first floor security area waiting area  enquired at info desk  she told no medical store  it s surprise  ,Positive
at bangalore airport going to jaipur   kempegowda international airport waiting area ,Neutral
 crows inside the bangalore airport  crowing away  needs to be fixed  this is inside the boarding waiting area ,Neutral
a hot sizzling erotic girl sitting in front of me in the waiting area of bangalore airport  has been talking in the phone for an hour,Neutral
 cutemoments a child sitting in a luggage trolley  waiting at the restroom area of the bangalore airport  while her mom is freshening up  ,Neutral
 atleast 20 passengers waiting for a taxi and absolutely no one to call in the cabs when we have more than 300 cabs in the waiting area at bangalore airport    ,Negative
 i remember i was sitting in bangalore airport at night  was traveling to hanoi  and the flight was going via dmk airport in bangkok  i mostly saw middle aged men in groups sitting in the waiting area  discussing gleefully what massages they ll take  ,Neutral
 bangalore  airport  nicepic  niceplace   kempegowda international airport waiting area ,Neutral
there are birds in the bangalore airport waiting area  garden city has a garden airport ,Neutral
"the guy sitting next to me has just solved germany s economic recession  on phone  sitting in a waiting area in bangalore airport 

layovers during air travel can be a lot of fun ",Positive
 at bangalore airport   off to delhi   kempegowda international airport waiting area ,Neutral
"bangalore airport is small    both domestic and international     limited check in kiosks   security is cumbersome     passenger waiting area is also smaller     
lounge in bangalore is much better though  ",Positive
bangalore airport is so large and plush  so  why is the domestic transfer area so i ll planned and chaotic    kempegowda international airport waiting area ,Negative
"you have time in bangalore airport good 
try visiting above ground level lounge  great ambiance  the food is fab and great waiting area as well 
p s it s properly sanitized and proper precautions are been taken 
cheers
 blrairport",Positive
 jetairways i ve been waiting for half an hour at your baggage services area at bangalore airport with service that belongs in the crappers  would you be doing something about this ,Neutral
puro gusto coffee shop in the waiting area of bangalore airport was my fave  their coffee was really good  its been in renovation for months now  god knows what they are building ,Positive
more foreigners waiting at bangalore airport s cab pickup area than natives  ,Neutral
