full_text,sentiment
stopped from leaving india at bangalore airport  am on the exit control list  got passport back through court order specifically for this trip to the us,Negative
 sos my wife with chinese passport and valid oci card holder  mother of 2 minor indian citizens is being refused entry at bangalore airport immigration  she arrived at 11 00 am today after 3 5 week visit to home  please help sos  my number 9886454940,Positive
"mam  indian passport valid more than 5 months but still immigration is not allowing us to check in from bangalore airport  for thailand minimum passport validity is more than 30 days  need your urgent help  
passport number   h4990495",Positive
my own experience earlier this month at bangalore airport can be described  mildly  as horrific  after one  amp a half hours for check in  after having done online check in    it took another hour plus for passport control  pathetic state of affairs,Negative
desi british passport holder  they always communicate in hindi at bangalore airport  i always speak to them in kannada  they stay with only gestures,Neutral
loosing a passport is a nightmare  thank you all the staff and  cisfhqrs of bangalore airport for helping me find my passport   ,Positive
  my brother s  passport impounded by immigration authority at bangalore airport due to high negligance of passport authority system and he is not allowed to travel   shame on it  no value of common person in our country  urgent action ,Negative
  my passport was lost at bangalore airport  i have visited rpo office twice already  the airport authority has sent my passport to rpo office  they want official appointment but the app does not allow me to book it if the passport has hyderabad address  kindly help ,Positive
one of the officer at bangalore airport immigration counter to tore my cousin s passport intentionally  and restricted him from traveling  what should he do now this is clear harassment ,Negative
 my sister a h4 visa holder  was denied to board flight at bangalore airport today saying usa travel ban  no  she hasn t travelled outside india in last 1 month  care to share any resource citing the travel ban for indian passport holders  ,Negative
"i have been forcefully quarantined in a hospital by bangalore airport authority because i returned from brazil without yellow fever vaccine 
hospital has taken my passport 
this is very unfair that i am not allowed to quarantine at home 
 blrairport  mohfw_india  pmoindia",Negative
can we travel in domestic airlines with usa driving licence as an id proof from bangalore airport    or atleast  soft copy of usa passport   traveling to chennai from bangalore ,Neutral
bangalore vale tinder passport leke bangalore airport pe matches dhund rahe honge,Neutral
why can t security at  bangalore  airport use fast dry ink to stamp passport and boarding pass  the ink mess is unhealthy for folks with ocd,Negative
quite astonishing how often i had to show boarding card   passport at bangalore airport  if you ever need some security experts      ,Positive
bangalore airport has the dumbest security ever   check your bags and passport 80 times  but you can walk right around them without notice,Negative
 customs officers of bangalore airport are asking and using passangers passport to buy liquer from duty free shop  they also sale liquer in higher price out side ,Positive
custom officers once made me buy them whiskey from duty free shop on my passport  they also gave me  70 for the same  this was at bangalore airport,Positive
 hello minister  landed in bangalore airport after a long time  two peculiar things not elsewhere like delhi  1  why having  x ray screening after immigration  2 why another check whether passport stamped or not after immigration,Negative
 hello madam  travelling to thailand with kids  apparently passport validity for kids is till apr 19  return ticket on 31st dec 18  please help  ai 338  bangalore airport  thanks  amp  regards  ruchir  91 99862 13700  meaindia   please help,Positive
two airports in one day   bangkok  amp  istanbul  the speed and ease of checkin in  security  passport control  boarding  food  shopping  signs  ease of movements  bathrooms  cleanliness  significantly better than delhi  mumbai  bangalore airport is nice but location a nightmare ,Positive
it took kannur passport center lesser time to issue me a new passport than the immigration officer in bangalore airport to stamp passports of 4 indians coming back home,Neutral
at bangalore airport ba asked me to fill the form and give your passport details and address  i have provided all the details  i asked for complain no ba emp said i will be receiving on my mobile  but so far i have not received anything    ,Negative
"sorry to bother you again   but my son is not getting immigration clearance at bangalore airport for going to nepal  he has aadhar  driving licence  pan card  students id but not passport or voter id  are last two documents compulsory 
pls reply early",Negative
welcome change  bangalore airport has separate counter for indian passport holders  ,Positive
at bangalore airport  after you finish immigration  another official checks if you have the entry seal on your passport     ,Neutral
passport   officer   takes   everybody s   passport   to  leave   every   body   claps  in  each  other s  hand   in  air  cut  to   305  ext   bangalore   airport    india   day a   large   ac  bus  stops  at  airport,Positive
 ran into an old friend waiting in line at the passport check point in bangalore airport  had not seen him in years ,Positive
 ma am my husband has been stoped in bangalore airport saying his passport has been revoked by ad embassy ,Neutral
  if they have valid passport for six month validity and if they arrive at bangalore airport can they get stamping on arrival,Neutral
lost passport in bangalore airport   lol day 1 of my one minute world pe     via  youtube,Positive
  stranded in bangalore airport as the visa is associated to my old passport no  i am a pr holder  what should i do now ,Negative
 hello madam  my 19 yr old son with usa passport and oci is being harassed in bangalore airport customs for  120 tv,Negative
 stopped from leaving india at bangalore airport  am on the exit control list  got passport back through court order specifically for this trip to the us     aakar patel has tweeted  after rana ayyub  it is a p  ,Negative
bhai yeh to fir bhi hyd airport hai which isn t the best one we have delhi  mumbai  bangalore airport dekh liya toh passport faad doge tum ,Positive
once at bangalore airport immigration  they tried to intimidate fossie for not answering stupid pajeety creamy questions like  wher yar yoor furam  i told the pajeets what the passport says    pajeets knew the passport holds some weight and let me go ,Positive
yeah  blr is nice  but mumbai airport is my fave in india hahaha  one day i will tell you the story of how i lost my passport at bangalore airport on my way back to kerala from kenya  and they were telling me to go back to abu dhabi to look for it     woi ,Positive
 my sister in law left her bag in ka05af5644 while traveling from  bangalore airport to home today evening and left a bag with passport and valuables  the uber airport help desk isn t able to assist and the driver isn t cooperating  please assist,Positive
bangalore airport has the smoothest immigration  amp  customs process  take that you corrupt bombay airport   officers   held passport hostage,Neutral
 i was born in odisha  but i am a native of karnataka   i only lived 1st month of my life in odisha   after seeing my passport  an odia immigration official at bangalore airport started talking to me on odia  and when i didn t get what he said  he says i should know odia,Neutral
 i am not saying bangalore airport is the benchmark  but its not the worst  not even in top 10 worst  sir you have a global audience  you tweeting about an passport control off day would do more harm to the brand bangalore than the 30 min longer que at the passport control would,Negative
today immigration officer at bangalore airport  foreign passport queue at 3 30 am  was rude  unprofessional and with no communication skills  is this how india is welcoming visitors,Negative
 need help  me  my wife and few friends were traveling from bangalore to bangkok for holidays  my wife was sent back from bangalore airport as her passport was valid for 3 months only  thailand wants passport validity of 30 days for voa but indian,Positive
 my passport was impounded on 10th june 2018 at bangalore airport immigration bureau stating that as per their system it was  lost   without giving me an opportunity of being heard  i have lost the money of all my bookings without it being my fault   pleasehelpme,Negative
 sir  you do not realise cos  you speak the language or never crosses the mind  it does happen  i have answered them in kannada then they look at my passport and communicate only by the gestures   a regular occurrence in bangalore airport  they look at you like an alien,Positive
 status of impounded my passport at bangalore airport i billa jagadeesh bearing the passport number l8130050 at bangalore airport the immigration department handed over my passport  i submitted all my documents to rpo office at vizag and no response from rpo,Negative
sri lankan with indian passport caught at bangalore airport ,Neutral
"coming back home  
 srilanka  nofilter  bangalore  airport  passport  shoes ",Neutral
 my passport was impounded at bangalore airport on 20 aug and forwarded to rpo ranchi  please confirm if you have received the passport p8108100  it is to be sent back to rpo bangalore  koramangala,Positive
  i have a need to travel   rented car driver  from coimbatore to bangalore airport to board a evac flight  should i fill in sidhu pass and tne pass   the only id i have is us passport and oci card  earliest response appreciated ,Positive
